Company,Year,Female,Male,White,Asian,Latino,Black,Multi,Other
Amazon,2014,37,63,60,13,9,15,0,3
Amazon,2015,37,63,60,13,9,15,0,3
Amazon,2016,39,61,48,13,13,21,0,5
Apple,2014,30,70,55,15,11,7,2,10
Apple,2015,31,69,54,18,11,8,2,7
Apple,2016,32,68,56,19,12,9,2,2
Dell,2014,30,70,69,9,11,10,0,1
Dell,2015,30,70,69,9,11,10,0,1
Dell,2016,30,70,68,9,11,10,0,2
Ebay,2014,42,58,61,24,5,7,1,2
Ebay,2015,43,57,60,31,3,2,3,1
Ebay,2016,43,57,60,25,5,8,1,1
Facebook,2014,31,69,57,34,4,2,3,0
Facebook,2015,32,68,55,36,4,2,3,0
Facebook,2016,33,67,52,38,4,2,3,1
Flickr,2014,37,63,50,39,4,2,2,3
Flickr,2015,37,63,50,39,4,2,2,3
Flickr,2016,37,63,45,44,4,2,2,3
Google,2014,30,70,61,30,3,2,4,0
Google,2015,30,70,60,31,3,2,3,1
Google,2016,31,69,59,32,3,2,3,1
Groupon,2014,47,53,71,15,5,4,0,5
Groupon,2015,47,53,71,15,5,4,0,5
Groupon,2016,47,53,67,17,6,8,0,2
HP,2014,33,67,72,6,14,7,1,0
HP,2015,33,67,72,6,14,7,1,0
HP,2016,33,67,72,6,14,7,1,0
Indiegogo,2014,45,55,64,23,8,2,0,3
Indiegogo,2015,45,55,64,23,8,2,0,3
Indiegogo,2016,45,55,64,23,8,2,0,3
Instagram,2014,31,69,57,34,4,2,3,0
Instagram,2015,31,69,57,34,4,2,3,0
Instagram,2016,33,67,52,38,4,2,3,1
Intel,2014,25,75,61,26,9,4,0,0
Intel,2015,25,75,61,26,9,4,0,0
Intel,2016,25,75,53,33,8,4,0,2
LinkedIn,2014,39,61,53,38,4,2,2,1
LinkedIn,2015,42,58,56,37,4,2,1,0
LinkedIn,2016,42,58,54,36,5,3,2,0
Microsoft,2014,29,71,61,29,5,4,1,0
Microsoft,2015,28,72,59,29,5,4,1,2
Microsoft,2016,26,74,58,31,6,3,2,0
Nvidia,2014,16,84,38,44,3,1,14,0
Nvidia,2015,16,84,38,44,3,1,14,0
Nvidia,2016,16,84,38,44,3,1,14,0
Pandora,2014,49,51,71,12,7,3,6,1
Pandora,2015,49,51,71,12,7,3,6,1
Pandora,2016,48,52,65,24,4,2,2,3
Pinterest,2014,40,60,50,42,2,1,0,5
Pinterest,2015,40,60,50,42,2,1,0,5
Pinterest,2016,44,56,49,41,4,2,4,0
Salesforce,2014,29,71,67,22,4,2,2,3
Salesforce,2015,29,71,67,22,4,2,2,3
Salesforce,2016,30,70,65,24,4,2,2,3
Tumblr,2014,37,63,50,39,4,2,2,3
Tumblr,2015,37,63,50,39,4,2,2,3
Tumblr,2016,37,63,45,44,4,2,2,3
Twitter,2014,30,70,59,29,3,2,3,4
Twitter,2015,30,70,59,29,3,2,3,4
Twitter,2016,37,63,57,32,4,3,3,1
US Population,2014,51,49,64,4,16,12,1,3
US Population,2015,51,49,64,4,16,12,1,3
US Population,2016,50,50,69,4,12,12,1,2
Yahoo,2014,37,63,50,39,4,2,2,3
Yahoo,2015,37,63,50,39,4,2,2,3
Yahoo,2016,37,63,45,44,4,2,2,3
YouTube,2014,30,70,61,30,3,2,4,0
YouTube,2015,30,70,61,30,3,2,4,0
YouTube,2016,30,70,61,30,3,2,4,0
